iteration,susceptible,exposed,infected,recovered
621,267,334,652,18747
622,261,315,668,18756
623,270,312,648,18770
624,309,297,646,18748
625,325,317,642,18716
626,298,308,670,18724
627,277,311,665,18747
628,260,323,654,18763
629,266,316,649,18769
630,295,320,628,18757
631,278,332,635,18755
632,291,305,670,18734
633,287,285,718,18710
634,280,282,695,18743
635,298,292,678,18732
636,311,301,669,18719
637,314,303,675,18708
638,292,296,681,18731
639,247,317,654,18782
640,307,290,651,18752
641,292,297,656,18755
642,308,308,679,18705
643,247,323,697,18733
644,275,286,670,18769
645,286,296,644,18774
646,274,299,645,18782
647,231,294,661,18814
648,257,272,653,18818
649,253,277,637,18833
650,289,269,642,18800
651,299,264,662,18775
652,306,278,660,18756
653,304,299,652,18745
654,318,316,651,18715
655,297,307,666,18730
656,314,324,635,18727
657,297,333,650,18720
658,267,339,647,18747
659,290,315,659,18736
660,280,324,659,18737
661,301,330,656,18713
662,321,313,690,18676
663,279,322,713,18686
664,291,315,717,18677
665,302,311,703,18684
666,291,326,696,18687
667,264,354,682,18700
668,289,328,684,18699
669,300,327,675,18698
670,283,332,664,18721
671,244,297,689,18770
672,290,274,663,18773
673,279,294,658,18769
674,283,281,659,18777
675,307,277,649,18767
676,337,303,645,18715
677,306,337,672,18685
678,297,343,667,18693
679,272,343,687,18698
680,288,330,669,18713
681,291,311,670,18728
682,295,326,661,18718
683,271,319,689,18721
684,298,308,667,18727
685,303,311,678,18708
686,321,301,674,18704
687,280,341,667,18712
688,284,322,680,18714
689,239,304,703,18754
690,273,288,658,18781
691,268,288,657,18787
692,283,272,680,18765
693,296,277,646,18781
694,286,295,645,18774
695,248,304,656,18792
696,288,282,670,18760
697,288,308,641,18763
698,269,303,642,18786
699,261,297,644,18798
700,251,282,641,18826
701,263,253,643,18841
702,291,271,608,18830
703,255,290,614,18841
704,282,288,608,18822
705,317,285,606,18792
706,343,323,620,18714
707,325,325,680,18670
708,334,327,680,18659
709,304,348,684,18664
710,298,362,682,18658
711,314,341,709,18636
712,302,326,721,18651
713,279,312,725,18684
714,307,318,711,18664
715,296,303,712,18689
716,298,309,688,18705
717,303,317,677,18703
718,272,328,687,18713
719,257,287,709,18747
720,259,290,674,18777
721,268,310,661,18761
722,298,301,675,18726
723,296,294,683,18727
724,307,309,655,18729
725,274,335,636,18755
726,294,351,635,18720
727,253,338,654,18755
728,281,332,621,18766
729,303,322,617,18758
